City Name,Year,City Average Temp.,Global Average Temp.
Delhi,1796,25.03,8.27
Delhi,1797,26.71,8.51
Delhi,1798,24.29,8.67
Delhi,1799,25.28,8.51
Delhi,1800,25.21,8.48
Delhi,1801,24.22,8.59
Delhi,1802,25.63,8.58
Delhi,1803,25.38,8.50
Delhi,1804,25.68,8.84
Delhi,1805,25.30,8.56
Delhi,1806,25.22,8.43
Delhi,1807,24.97,8.28
Delhi,1808,,7.63
Delhi,1809,,7.08
Delhi,1810,,6.92
Delhi,1811,,6.86
Delhi,1812,,7.05
Delhi,1813,24.56,7.74
Delhi,1814,23.73,7.59
Delhi,1815,24.09,7.24
Delhi,1816,23.70,6.94
Delhi,1817,23.86,6.98
Delhi,1818,24.37,7.83
Delhi,1819,23.90,7.37
Delhi,1820,24.12,7.62
Delhi,1821,24.83,8.09
Delhi,1822,24.93,8.19
Delhi,1823,24.63,7.72
Delhi,1824,25.30,8.55
Delhi,1825,25.11,8.39
Delhi,1826,25.12,8.36
Delhi,1827,25.36,8.81
Delhi,1828,24.90,8.17
Delhi,1829,24.71,7.94
Delhi,1830,25.07,8.52
Delhi,1831,24.43,7.64
Delhi,1832,24.62,7.45
Delhi,1833,24.85,8.01
Delhi,1834,24.82,8.15
Delhi,1835,23.90,7.39
Delhi,1836,24.54,7.70
Delhi,1837,24.42,7.38
Delhi,1838,24.38,7.51
Delhi,1839,24.45,7.63
Delhi,1840,24.72,7.80
Delhi,1841,24.49,7.69
Delhi,1842,24.78,8.02
Delhi,1843,24.75,8.17
Delhi,1844,24.36,7.65
Delhi,1845,24.60,7.85
Delhi,1846,25.16,8.55
Delhi,1847,24.66,8.09
Delhi,1848,24.45,7.98
Delhi,1849,24.49,7.98
Delhi,1850,24.78,7.90
Delhi,1851,24.76,8.18
Delhi,1852,24.65,8.10
Delhi,1853,24.88,8.04
Delhi,1854,25.02,8.21
Delhi,1855,25.24,8.11
Delhi,1856,23.86,8.00
Delhi,1857,24.30,7.76
Delhi,1858,,8.10
Delhi,1859,,8.25
Delhi,1860,,7.96
Delhi,1861,,7.85
Delhi,1862,,7.56
Delhi,1863,,8.11
Delhi,1864,,7.98
Delhi,1865,,8.18
Delhi,1866,,8.29
Delhi,1867,,8.44
Delhi,1868,,8.25
Delhi,1869,,8.43
Delhi,1870,24.89,8.20
Delhi,1871,24.88,8.12
Delhi,1872,24.94,8.19
Delhi,1873,25.06,8.35
Delhi,1874,24.25,8.43
Delhi,1875,25.38,7.86
Delhi,1876,24.93,8.08
Delhi,1877,25.08,8.54
Delhi,1878,25.18,8.83
Delhi,1879,24.86,8.17
Delhi,1880,25.45,8.12
Delhi,1881,25.09,8.27
Delhi,1882,24.89,8.13
Delhi,1883,24.82,7.98
Delhi,1884,24.67,7.77
Delhi,1885,24.38,7.92
Delhi,1886,24.89,7.95
Delhi,1887,24.90,7.91
Delhi,1888,24.88,8.09
Delhi,1889,25.21,8.32
Delhi,1890,25.06,7.97
Delhi,1891,24.68,8.02
Delhi,1892,25.49,8.07
Delhi,1893,23.84,8.06
Delhi,1894,24.74,8.16
Delhi,1895,25.15,8.15
Delhi,1896,25.83,8.21
Delhi,1897,25.39,8.29
Delhi,1898,25.55,8.18
Delhi,1899,25.86,8.40
Delhi,1900,25.56,8.50
Delhi,1901,25.49,8.54
Delhi,1902,25.66,8.30
Delhi,1903,25.14,8.22
Delhi,1904,25.07,8.09
Delhi,1905,24.75,8.23
Delhi,1906,25.17,8.38
Delhi,1907,25.02,7.95
Delhi,1908,25.14,8.19
Delhi,1909,24.75,8.18
Delhi,1910,24.81,8.22
Delhi,1911,25.36,8.18
Delhi,1912,25.25,8.17
Delhi,1913,24.94,8.30
Delhi,1914,25.12,8.59
Delhi,1915,25.73,8.59
Delhi,1916,25.07,8.23
Delhi,1917,23.84,8.02
Delhi,1918,25.28,8.13
Delhi,1919,24.84,8.38
Delhi,1920,24.99,8.36
Delhi,1921,26.04,8.57
Delhi,1922,25.18,8.41
Delhi,1923,25.26,8.42
Delhi,1924,24.98,8.51
Delhi,1925,24.85,8.53
Delhi,1926,24.78,8.73
Delhi,1927,24.73,8.52
Delhi,1928,25.65,8.63
Delhi,1929,25.39,8.24
Delhi,1930,25.10,8.63
Delhi,1931,25.58,8.72
Delhi,1932,25.63,8.71
Delhi,1933,24.52,8.34
Delhi,1934,24.96,8.63
Delhi,1935,24.81,8.52
Delhi,1936,24.76,8.55
Delhi,1937,24.81,8.70
Delhi,1938,25.36,8.86
Delhi,1939,25.24,8.76
Delhi,1940,25.07,8.76
Delhi,1941,26.30,8.77
Delhi,1942,25.40,8.73
Delhi,1943,25.25,8.76
Delhi,1944,24.98,8.85
Delhi,1945,24.78,8.58
Delhi,1946,25.47,8.68
Delhi,1947,25.72,8.80
Delhi,1948,25.45,8.75
Delhi,1949,25.60,8.59
Delhi,1950,24.66,8.37
Delhi,1951,25.58,8.63
Delhi,1952,25.84,8.64
Delhi,1953,26.14,8.87
Delhi,1954,25.68,8.56
Delhi,1955,25.15,8.63
Delhi,1956,25.30,8.28
Delhi,1957,24.91,8.73
Delhi,1958,25.93,8.77
Delhi,1959,25.56,8.73
Delhi,1960,25.53,8.58
Delhi,1961,24.80,8.80
Delhi,1962,25.18,8.75
Delhi,1963,25.46,8.86
Delhi,1964,25.05,8.41
Delhi,1965,25.26,8.53
Delhi,1966,25.52,8.60
Delhi,1967,24.98,8.70
Delhi,1968,25.02,8.52
Delhi,1969,25.80,8.60
Delhi,1970,25.39,8.70
Delhi,1971,24.81,8.60
Delhi,1972,25.42,8.50
Delhi,1973,25.56,8.95
Delhi,1974,25.52,8.47
Delhi,1975,25.02,8.74
Delhi,1976,25.33,8.35
Delhi,1977,25.41,8.85
Delhi,1978,25.21,8.69
Delhi,1979,25.81,8.73
Delhi,1980,26.02,8.98
Delhi,1981,25.79,9.17
Delhi,1982,25.18,8.64
Delhi,1983,24.75,9.03
Delhi,1984,25.56,8.69
Delhi,1985,25.86,8.66
Delhi,1986,25.31,8.83
Delhi,1987,26.54,8.99
Delhi,1988,26.11,9.20
Delhi,1989,25.43,8.92
Delhi,1990,25.54,9.23
Delhi,1991,25.74,9.18
Delhi,1992,25.52,8.84
Delhi,1993,25.92,8.87
Delhi,1994,25.87,9.04
Delhi,1995,25.92,9.35
Delhi,1996,25.55,9.04
Delhi,1997,24.71,9.20
Delhi,1998,25.77,9.52
Delhi,1999,26.36,9.29
Delhi,2000,26.05,9.20
Delhi,2001,25.86,9.41
Delhi,2002,26.63,9.57
Delhi,2003,25.72,9.53
Delhi,2004,26.24,9.32
Delhi,2005,25.72,9.70
Delhi,2006,26.37,9.53
Delhi,2007,26.15,9.73
Delhi,2008,25.68,9.43
Delhi,2009,26.55,9.51
Delhi,2010,26.52,9.70
Delhi,2011,25.63,9.52
Delhi,2012,25.89,9.51
Delhi,2013,26.71,9.61
